t,x,y,z
0.0,1.0,1.0,1.0
0.01,1.0123881182539465,1.2600621346047227,0.9848799320987063
0.02,1.0481714174360948,1.5245112993559966,0.9730906184568622
0.03,1.106412798355001,1.7988093072022944,0.9651145195117915
0.04,1.185435396364265,2.0891942937067904,0.9616261570642722
0.05,1.2857870385042827,2.4007518299353277,0.9636802186847367
0.06,1.407648762708954,2.738632219142157,0.9723448380309139
0.07,1.5511810931491994,3.1086540491539223,0.9892793814141461
0.08,1.7183778149699793,3.5164433020111447,1.016664088427753
0.09,1.9107288123215243,3.9675782820711643,1.0567365939518836
0.1,2.12993814847311,4.468323234941735,1.1128624967167926
0.11,2.378818734794546,5.025391724055306,1.1890527569919633
0.12,2.6597852626377065,5.6450777691271865,1.2900134629000808
0.13,2.97646852567488,6.335010071846078,1.4225323732099415
0.14,3.332369813490801,7.10242976315736,1.5938024224646723
0.15,3.731429922653658,7.954625601598945,1.8139737899927286
0.16,4.178158370113318,8.89938660154742,2.0947152215817004
0.17,4.676906896911629,9.942931192443066,2.450778168659011
0.18,5.232682729987194,11.091532484563373,2.90013578663944
0.19,5.850013757817329,12.348386925410377,3.464190084412606
0.2,6.533631960612987,13.71462692694092,4.1689862344386865
0.21,7.287365060247134,15.186002727167914,5.044381660002612
0.22,8.11415985091933,16.752025999899516,6.125304855535718
0.23,9.015436884220549,18.39351088914153,7.4500575796829
0.24,9.9893238045259,20.077466299089643,9.059039839238292
0.25,11.032295372143148,21.759852630434803,10.99500622622699
0.26,12.132253203845059,23.37109796919441,13.288325092933402
0.27,13.276444738346974,24.83042271572682,15.973805883842243
0.28,14.438513101356326,26.029503360569695,19.04490449424545
0.29,15.585439670325691,26.8494953104477,22.473718706764387
0.3,16.678465071616714,27.159430871884712,26.20641692250699
0.31,17.66669668038754,26.85561958257403,30.110069128993988
0.32,18.495511905377487,25.830753561872946,34.040548623755875
0.33,19.11347453281847,24.076146051987056,37.793469362087286
0.34,19.464187811039917,21.597093102351106,41.15440030212491
0.35000000000000003,19.519339364699583,18.532494359785936,43.94256770560378
0.36,19.254846492716403,15.050802019724408,45.99855189259777
0.37,18.674712175006526,11.366273984029084,47.26038809239126
0.38,17.79650855501396,7.699465030588475,47.724618909261835
0.39,16.664721432726637,4.251393681429459,47.47944324256057
0.4,15.329518621277533,1.1657162973634256,46.6517597403441
0.41000000000000003,13.849851812092869,-1.465443256774059,45.397072317445954
0.42,12.28486129378595,-3.61527605401779,43.87210836372816
0.43,10.687117289674593,-5.29729856685849,42.209554912994676
0.44,9.10291426340744,-6.5600496712736645,40.52002167063324
0.45,7.566706547570243,-7.464141781318346,38.87652999376797
0.46,6.105878344599327,-8.076877818526508,37.33059815247235
0.47000000000000003,4.736550128432027,-8.461143062199957,35.90650427507144
0.48,3.470184988485498,-8.673680733290208,34.61604536525078
0.49,2.309800194634582,-8.760981334810628,33.45733531840671
0.5,1.2561219711744702,-8.762225710320536,32.423477295559984
0.51,0.305226000285873,-8.70579564305132,31.503585496233782
0.52,-0.5484424626728843,-8.616275668088411,30.685002793554343
0.53,-1.3116417440113783,-8.509215399358391,29.955968179179358
0.54,-1.9914725474034758,-8.398011692370847,29.305744614586345
0.55,-2.5967172666037133,-8.291584450071742,28.72321069541024
0.56,-3.1343502479419287,-8.196025275854232,28.20061254805531
0.5700000000000001,-3.613219327079303,-8.115843197423256,27.729472086139157
0.58,-4.040261272443284,-8.053244986525973,27.304215855141464
0.59,-4.420633915532362,-8.010411676481175,26.92087860333502
0.6,-4.762813752142922,-7.987786390436386,26.574061495506843
0.61,-5.072460923780726,-7.985014063656746,26.26088667834901
0.62,-5.352677843889741,-8.002296410578642,25.980030295284767
0.63,-5.6073368763516,-8.039551526900038,25.729876810466248
0.64,-5.844673597705299,-8.094505539016753,25.50739521561549
0.65,-6.067068915221194,-8.166029545907934,25.31218320835582
0.66,-6.2755887867366695,-8.253392217426397,25.144371874101214
0.67,-6.471299170089113,-8.355862223424959,25.004092298265647
0.68,-6.657830234714055,-8.471918288842797,24.890991257114436
0.6900000000000001,-6.842773894381376,-8.598181947822047,24.8038401067766
0.7000000000000001,-7.025706837256791,-8.733075509881889,24.742790568464535
0.71,-7.205694374743401,-8.875158649617472,24.708086919871544
0.72,-7.381801818244318,-9.02299104162395,24.699973438690925
0.73,-7.553094479162645,-9.17513236049647,24.718694402615984
0.74,-7.718637668901488,-9.330142280830183,24.764494089340026
