t,x,y,z
0.0,1.0,1.0,1.0
0.01,1.0443218165701098,1.233667681545977,0.943388010784614
0.02,1.1479806408921973,1.4836008004798649,0.8939698317189786
0.03,1.2985104910748455,1.7630222583147155,0.8527242858130502
0.04,1.4966932285795271,2.081005508087149,0.8209803955211966
0.05,1.738940061924779,2.4489617046605927,0.8007731874999764
0.06,2.0312040248143126,2.8776534612324456,0.7951051900192391
0.07,2.37811838129901,3.3783001886551194,0.8077890640267196
0.08,2.788245057638753,3.964550739895455,0.8446820565546198
0.09,3.2718478418082153,4.650387826059297,0.9134642493708282
0.1,3.8423501741018486,5.45254111304081,1.0249522183592294
0.11,4.516099612811724,6.389320398225764,1.1944919574408168
0.12,5.312847987202632,7.480886469873825,1.4424383830161411
0.13,6.257894062143093,8.749338340299092,1.7979465787582418
0.14,7.3823496552142736,10.216249294161186,2.30067655779687
0.15,8.725537309722279,11.901575143657322,3.004678655630051
0.16,10.338445953798152,13.81898407315285,3.984721924066459
0.17,12.286010756850123,15.966572888212148,5.34207351702456
0.18,14.649167176903713,18.31271241412598,7.2106829746693375
0.19,17.52400540099274,20.772346028071745,9.762338432252724
0.2,21.008588518250665,23.159641550180396,13.20056753350385
0.21,25.14400015672005,25.12152219647655,17.709251975385655
0.22,29.80459402643254,26.09123534883423,23.351622195195766
0.23,34.46687079444613,25.298833006693524,29.829054198914726
0.24,37.978993201994264,22.072650360316082,36.212647623638055
0.25,38.7490078279717,16.508300736994748,41.004725861760036
0.26,35.768799674134065,9.889690884445052,43.01349257075835
0.27,29.55358635825541,3.960790050059511,42.272235500157876
0.28,21.855817836341394,-0.2217604859538218,39.855613743031675
0.29,14.400866692684705,-2.640110061949771,36.90202609376666
0.3,8.17539785914649,-3.7890887172683083,34.05813693880917
0.31,3.4495264712565135,-4.201029885413464,31.53622129210735
0.32,0.08789778756459565,-4.255132112424244,29.336434031940918
0.33,-2.19234174659304,-4.178848550533514,27.399335519082364
0.34,-3.689924930790272,-4.094286578576826,25.66641196611862
0.35000000000000003,-4.658466832275093,-4.060220915623934,24.096407196730006
0.36,-5.292676085506672,-4.101356567984588,22.6635603916431
0.37,-5.736993545662583,-4.225213533334633,21.352413332918992
0.38,-6.085664623669401,-4.432747689197651,20.155018234133546
0.39,-6.407568165780192,-4.722673861115013,19.067254407316952
0.4,-6.748608417723771,-5.093604623261762,18.087797579191783
0.41000000000000003,-7.147765788586424,-5.545342627680408,17.218290001528796
0.42,-7.594249316956103,-6.08646695874267,16.466725990551573
0.43,-8.126817284734994,-6.71610411337437,15.837246385637126
0.44,-8.764908971251815,-7.437111399179254,15.341901343545652
0.45,-9.507892810679461,-8.25640885138147,14.996162475688363
0.46,-10.389925265843873,-9.172307002824748,14.816854853291844
0.47000000000000003,-11.414171063285702,-10.181249626949345,14.832453205051623
0.48,-12.580704837602626,-11.27960781482316,15.073416499532737
